cluster_id,size,avg_distance,max_distance,density
177,5,0.05503257580814576,0.10108935061932639,18.171055694107324
178,10,0.08683843489447572,0.17884238930000645,11.515638221890795
179,6,0.04756472968922509,0.08551697175836563,21.023981562256868
180,14,0.0889416112177683,0.1698583107505372,11.243331285640407
181,6,0.04402278900972801,0.09339701259423475,22.715507638078616
182,13,0.0678248704280972,0.16447466147297113,14.743854189299547
183,5,0.09428436011951515,0.14517409588727886,10.606212936402144
184,12,0.07803850288967977,0.15714005333823403,12.814187394313088
185,14,0.09598638878330537,0.19784539324000072,10.418143787631763
186,15,0.1960235602801882,0.45286603241636414,5.101427596614612
187,15,0.059331541007281746,0.12908214618164943,16.85444171890412
188,9,0.04320649892044946,0.07873930509073218,23.144666311453992
189,19,0.10927964771432594,0.22047644719843443,9.15083477038795
190,11,0.11429240678121505,0.24435274967555087,8.749487635816928
191,6,0.07359016446493266,0.14731940336906074,13.588772457174247
192,15,0.11294011679341673,0.250266091302891,8.854249742180981
193,14,0.06642247554004717,0.1500295951851748,15.055144992256183
194,8,0.15999737192725458,0.30522266554441546,6.250102660777868
195,5,0.08085234530916355,0.14645987205493563,12.368225017792566
196,10,0.0778505043743723,0.14628560153987677,12.845131936347366
197,8,0.06035151787712773,0.11698550145783625,16.56959153928727
198,20,0.1283094201055331,0.2820585928294788,7.793660038191358
199,7,0.06970962170956392,0.11239774949259398,14.345222014923134
200,21,0.08778058472519763,0.2062547016842707,11.392040769955678
201,7,0.05951396996275727,0.10211587061677628,16.80277757685769
202,12,0.07128594376701565,0.15153467858303712,14.028010953580232
203,11,0.056682461380543454,0.13145576607761267,17.642141425129697
204,12,0.09864511756516695,0.26077689753921074,10.137349163169478
205,27,0.12843339894820582,0.33834255064776936,7.786136691774984
206,15,0.12853518225038155,0.3289888575453008,7.779971074783547
207,9,0.11840110064326353,0.27796380743854804,8.44586743338602
208,17,0.09680315298515205,0.2424352587234825,10.330242034093486
209,10,0.043794911965949375,0.08891884528399292,22.833702709061313
210,7,0.05786551793855745,0.11459945128092217,17.28144904987831
211,16,0.07606557352097046,0.18779290659354517,13.14655176726316
212,7,0.0778800932585477,0.14773975987802193,12.84025170180758
213,15,0.17953989438454637,0.43420777617156364,5.569792738421447
214,11,0.03694421597617116,0.10035081144287923,27.067836563238888
215,12,0.06091585213773071,0.14496041126303652,16.41608817584954
216,6,0.06898228812530684,0.12204684673099789,14.496474778909807
217,11,0.06969985268181382,0.13685562070691795,14.347232619918024
218,10,0.05858797158610045,0.137670009051305,17.068349917702943
219,6,0.06990341591296682,0.1386587821928747,14.305452558213306
220,6,0.0604838595871003,0.12540559421928338,16.533336444244956
221,5,0.03102766487530507,0.04503771953347911,32.22930259234237
222,12,0.06123900571400164,0.13532407460266757,16.32946172689673
223,12,0.04140053103512642,0.09284475708191899,24.154279546596797
224,16,0.09503294085775407,0.2662917633327541,10.522667098104504
225,18,0.08502155574287351,0.2265043856258017,11.761723144942803
226,18,0.056959390566825634,0.14527455934790476,17.556367616447453
227,9,0.07100220433374994,0.14002221527279693,14.084069774783927
228,5,0.0287475085327842,0.05639121702260647,34.785623208341036
229,7,0.04104994630924415,0.0803510127524934,24.36056779384404
230,5,0.06362532465045032,0.11725044410594619,15.717012140902646
231,5,0.0401886582855529,0.06677199458271638,24.88264208510494
