data_index,cluster,probability,outlier_score
516,-1,0.0,0.001142540206459207
517,-1,0.0,0.0020614334150221604
518,-1,0.0,0.016701586492978558
519,-1,0.0,0.00039913344045881127
520,-1,0.0,0.041670862398177674
521,-1,0.0,0.03391685606739362
522,-1,0.0,0.004269490775826305
523,-1,0.0,0.08769021906339254
524,-1,0.0,0.004775472356024938
525,-1,0.0,0.03796265665886057
526,-1,0.0,0.006231401193620724
527,-1,0.0,0.0762183145501614
528,-1,0.0,0.05127214023237885
529,-1,0.0,0.01059001278105004
530,-1,0.0,0.011339919209968961
531,-1,0.0,0.025276634735732318
532,-1,0.0,0.04195243208239508
533,-1,0.0,0.015653755049954723
534,-1,0.0,0.03551344729408089
535,-1,0.0,0.019339636004790446
536,-1,0.0,0.0484648143507277
537,-1,0.0,0.03407402265567686
538,-1,0.0,0.005117876701267884
539,-1,0.0,0.002364481919140085
540,-1,0.0,0.0046073688154775515
541,-1,0.0,0.1657153462999157
542,-1,0.0,0.002617454636530959
543,-1,0.0,0.005143411068577591
544,-1,0.0,0.00782154724356671
545,-1,0.0,0.03317756733529425
546,-1,0.0,0.008994240230112053
547,-1,0.0,0.04271993752842565
548,-1,0.0,0.0023000386371092836
549,-1,0.0,0.022458018657042732
550,-1,0.0,0.05185817151542334
551,-1,0.0,0.016192159742589304
552,-1,0.0,0.02013760001147526
553,-1,0.0,0.036371436259105994
554,-1,0.0,0.012926038224961588
555,-1,0.0,0.002462923642117241
556,-1,0.0,0.01144977847207652
557,-1,0.0,0.03473846260567403
558,-1,0.0,0.06500552325279847
559,-1,0.0,0.004607801978260704
560,-1,0.0,0.0006632915122033216
561,-1,0.0,0.20721154528878827
562,-1,0.0,0.005947671912347121
563,-1,0.0,0.039434121757641584
564,-1,0.0,8.00176872926127e-05
565,-1,0.0,0.044217884605879346
566,-1,0.0,0.04638335989630753
567,-1,0.0,0.012792686503583438
568,-1,0.0,0.045663761876508446
569,-1,0.0,0.015610885001471947
570,-1,0.0,0.18382733466685908
571,-1,0.0,0.11446106878678011
572,-1,0.0,0.05945993489387429
573,-1,0.0,0.00801368707139814
574,-1,0.0,0.0002823628816994236
575,-1,0.0,0.04993994683259031
576,-1,0.0,0.041852399572572786
577,-1,0.0,0.0058070540388912495
578,-1,0.0,0.04227861217635826
579,-1,0.0,0.15699469461014054
580,-1,0.0,0.0035139876998894824
581,-1,0.0,0.1468762354784641
582,-1,0.0,0.0356879899832116
583,-1,0.0,0.04707432246219471
584,-1,0.0,0.00440226653611469
585,-1,0.0,0.01822963769689769
586,-1,0.0,0.023695929796726786
587,-1,0.0,0.04193678242624706
588,-1,0.0,0.12540487676056902
589,-1,0.0,0.1740278025702663
590,-1,0.0,0.041337721487082806
591,-1,0.0,0.03204964793489805
592,-1,0.0,0.011057870572664682
593,-1,0.0,0.0046792292717673
594,-1,0.0,0.009536220522970231
595,-1,0.0,0.020932905151117245
596,-1,0.0,0.0017258972272381225
597,33,0.9724621169993763,0.02753788300062362
598,-1,0.0,0.011166880533959754
599,-1,0.0,0.008622823057845024
600,-1,0.0,0.010129292216474886
601,-1,0.0,0.10459204315980705
602,-1,0.0,0.002659039320657087
603,-1,0.0,0.006557654920025075
604,-1,0.0,0.03548419231015775
605,-1,0.0,0.0013331798689383925
606,-1,0.0,0.03394594184250187
607,-1,0.0,0.016647069912860326
608,-1,0.0,0.012528637222196234
609,-1,0.0,0.0002149711380700568
610,-1,0.0,0.004243646212004185
611,-1,0.0,0.00464111007340293
612,-1,0.0,0.03759887228023961
613,-1,0.0,0.007723641416147967
614,-1,0.0,0.004904025965803079
615,-1,0.0,0.014749193419782244
616,-1,0.0,0.03412723303911652
617,-1,0.0,0.03541192996851514
618,-1,0.0,0.02843143219713954
619,-1,0.0,0.00480703189616534
620,-1,0.0,0.02671584657310363
621,-1,0.0,0.06167732454477881
622,-1,0.0,0.047934990599629884
623,-1,0.0,0.03725988118706361
624,-1,0.0,0.13982057612095458
